refInformatiemodelID	refInformatiemodelGUID	refInformatiemodel	Definitie	URL	Beheerder	Versie	Wijzigingsdatum
1	13685f57-6727-419f-b209-a79d21f37efd	BAG	null	null	Geonovum	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
2	69d28f80-c953-4153-bb59-0db3ee40c6ba	BGT	null	null	Geonovum	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
3	7d1f9b9c-b30f-4b94-8ff2-756e3354a14a	GWSW	null	null	Rioned	1.6	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
4	0eaa87b3-9450-4766-8130-cedd306116a3	IMBOR	null	null	CROW	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
5	9692407e-3ae7-4162-86ab-545651f0141c	IMGeo	null	null	Geonovum	2.2	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
6	6f400e1c-cf26-4a77-9fe7-12060c3753b0	IMKL	null	null	Geonovum	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
7	ae97a5ae-78ba-41d2-b827-82c930cb2f28	KOR	null	null	CROW	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
8	5b9b9d89-a27d-4033-b5a9-c348e6b20fa8	MELD	null	null	CROW	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
9	889b4979-7f5b-405b-a1a8-d73c26938bad	NEN2767	null	null	NEN	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
10	2f79141c-f307-42a9-b801-bd42a1401e24	NEN3610	null	https://definities.geostandaarden.nl/nen3610-ontologie	NEN	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
11	105db588-da0f-4242-8480-a57d1e516bba	SUFArealen	null	null	CROW	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
12	74da7dfc-c301-46ad-b4bf-5ccc1c30aaf9	SUFKOR	null	null	CROW	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
13	a5d50756-2804-47ff-8f3d-31bc652c906e	SUFWEGKOR	null	null	CROW	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
14	f03e6c48-5b96-4f8d-9b1e-52d02fb0b45f	Wegbeheersystematiek 2019	null	null	CROW	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
15	3e02c0c2-f15c-422d-9254-c8d50ef64df7	QUDT	QUDT CATALOG - Quantities, Units, Dimensions and Data Types Ontologies	http://www.qudt.org/2.1/catalog/qudt-catalog.html	QUDT.org	2.1	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
16	5c2fcc02-c73c-4336-8bdc-8e087d9ee0b0	SOR	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
17	6f83037c-e22e-41fc-a1fb-fe0189479611	NEN2660-2	Rules for information modelling of the built environment	https://w3id.org/nen2660/	NEN	NEN 2660-2:2021	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
