EID	E
2	Aansluitleidingen aansluiten
3	Aansturen
4	Aansturen van een pomp door middel van een microprocessor
5	Aanvoer afstromend hemelwater vanaf een kolk
6	Aanvoer van afvalwater
7	Aanvoer van afvalwater vanaf een perceel
8	Aanvoer van grondwater
9	Aanvoer van hemelwater
10	Aanvoer van hemelwater en vuilwater
11	Aanvoer van vuilwater
12	Aanvullende bemaling
13	Aanwijzen afsluiterstand
14	Afdekken
15	Afdekken ondergrondse voorziening
16	Afdekken put
17	Afremmen van de stroomsnelheid van het afvalwater
18	Afscheiden olie/benzine
19	Afscheiden slib
20	Afscheiden vaste deeltjes (vuil en slib)
21	Afscheiden vet
22	Afsluiten in één stroomrichting
23	Afsluiten in twee stroomrichtingen
24	Afsluiten van leidingen
25	Afstroming herstellen
26	Afvoer naar kolkaansluitleiding
27	Afvoer van afvalwater naar een RWZI
28	Afvoer van gassen uit de riolering
29	Afvoer van hemelwater
30	Afvoeren hemelwater naar de ondergrond
31	Be- of ontluchten
32	Bedienen afsluiter
33	Bedienen van meerdere pompunits
34	Beluchten leiding
35	Beluchten mechanische leiding
36	Beluchten of ventileren
37	Beluchten vrijverval leiding
38	Beperken debiet
39	Beschermen
40	Bezinken stoffen
41	Bij calamiteit afvalwater afvoeren
42	Bluswater leveren
43	Dichtzetten inlaten
44	Doorspoelen rioolstelsel
45	Doorvoeren beperkte toestandswijziging
46	Doorvoeren ingrijpende toestandswijziging
47	Doorvoeren leidingen en/of kabels
48	Doorvoeren toestandswijziging
49	Geen functie
50	Geleiden van de afvoer van het afvalwater
51	Herstellen bouwwerk
52	In stand houden onderdruk
53	Inlaten van oppervlaktewater
54	Inzamelen en kortstondig opslaan afvalwater
55	Inzamelen hemelwater en afgifte aan ondergrond
56	Inzameling van afvalwater
57	Inzameling van grondwater
58	Inzameling van hemelwater
59	Inzameling van hemelwater en vuilwater
60	Inzameling van vuilwater
61	Keren van water
62	Laten bezinken
63	Leiding gescheiden laten kruisen
64	Leidingen aansluiten
65	Lozen afvalwater
66	Lozen binnen het stelsel
67	Lozen buiten het stelsel
68	Lucht in mechanische leiding regelen
69	Meten
70	Meten capaciteit van de volumestroom
71	Meten grondwaterpeil
72	Meten hoeveelheid hemelwater
73	Meten kwaliteit van het afvalwater
74	Meten van niveauwijziging
75	Meten waterdruk
76	Meten waterstand
77	Ondersteunen via de ondergrond
78	Ontluchten van een leiding
79	Ontluchten mechanische leiding
80	Opslag van oppervlaktewater
81	Opvang en afvoer hemelwater
82	Opvang hemelwater
83	Opvang van afstromend hemelwater
84	Opvang van afvalwater
85	Opvangen vuil
86	Opwoelen en verzamelen van bezinksel
87	Overbruggen groot niveauverschil
88	Overstortgebeurtenis registreren
89	Overtollig afvalwater laten wegstromen
90	Overtollig hemelwater infiltratievoorziening afvoeren
91	Regelen van het debiet om de bergingscapaciteit van het bovenstroomse rioolstelsel te benutten
92	Regeling van de afvoer van het afvalwater
93	Reinigen afvalwater
94	Rioolleidingen aansluiten
95	Stabiliseren grondslag
96	Tijdelijke berging van afvalwater
97	Tijdelijke berging van hemelwater
98	Tijdelijke berging van hemelwater en vuilwater
99	Tijdelijke berging van vuilwater
100	Toegang geven tot aansluitleiding
101	Toegang geven tot een leiding
102	Toegang geven tot het rioolstelsel
103	Toegang geven tot zinker
104	Toegang geven voor doorspoelen
105	Toegang verschaffen
106	Transport van afvalwater
107	Transport van afvalwater onder een obstakel door
108	Transport van gas
109	Transport van grondwater
110	Transport van hemelwater
111	Transport van hemelwater en vuilwater
112	Transport van oppervlaktewater
113	Transport van overstortend afvalwater
114	Transport van spoelwater
115	Transport van vuilwater
116	Uitstroom van afvalwater naar oppervlaktewater
117	Van stroom voorzien
118	Verbinden aansluitleiding met rioolput of rioolleiding
119	Verbinden van drie leidingen
120	Verbinden van leidingen
121	Verbinden van leidingen in een hoek
122	Verbinden van leidingen met verschillend materiaal of verbindingstype
123	Verbinden van leidingen met verschillende diameter
124	Verbinden van twee leidingen
125	Verbinden van vier leidingen
126	Verbinding tussen oppervlaktewater
127	Verhinderen dat opdrijvend materiaal afstroomt.
128	Vermindering waterslageffect
129	Vernieuwen
130	Verplaatsen van water
131	Verpompen van afvalwater
132	Verpompen van water
133	Vervangen (functie)
134	Verwijderen fosfaat
135	Verwijderen opgedreven delen
136	Verwijderen stikstof
137	Verwijderen vervuiling
138	Verwijderen zwevende stoffen
139	Volledig keren van water
140	Voorkomen dat stromen elkaar raken
141	Voorkomen stank
142	Voortgeleiding van energie
143	Voortgeleiding van materie
144	Voortgeleiding van signaal
145	Waterdicht maken
146	Waterniveau in stelsel regelen
147	Zonder toestandswijziging
148	Zuiveren afvalwater
